Brands,USA Rank,Q1,Q2,Q3,Q4,YTD,Year
General Motors,1,"642,250","688,386",,,"1,330,636",2021
Toyota,2,"603,066","656,431",,,"1,259,497",2021
Ford Motor Co,3,"521,334","472,313",,,"993,647",2021
FCA Jeep Chrysler,4,"469,651","485,734",,,"955,385",2021
Honda,5,"347,091","486,498",,,"833,589",2021
Hyundai Kia,6,"334,903","454,965",,,"789,868",2021
Nissan,7,"285,553","323,302",,,"608,855",2021
Volkswagen Group,8,"158,857","198,677",,,"357,534",2021
Subaru,9,"160,426","160,887",,,"321,313",2021
Mazda,10,"78,805","105,896",,,"184,701",2021
BMW,11,"77,768","105,914",,,"183,682",2021
Mercedes-Benz,12,"90,122","92,458",,,"182,580",2021
Tesla,13,"66,000","73,000",,,"139,000",2021
Volvo,14,"27,332","36,557",,,"63,889",2021
Jaguar Land Rover,15,"25,124","22,144",,,"47,268",2021
GM,1,612488,492501,665022,768189,2538190,2020
Toyota,2,496644,398734,558452,660310,2113140,2020
Ford,3,515111,433874,549134,536426,2034545,2020
FCA Jeep,4,446595,367094,507384,499600,1820673,2020
Honda,5,299041,292744,378422,366657,1336864,2020
Hyundai Kia,6,272815,268388,339577,341654,1222433,2020
Nissan,7,292988,189335,264102,257809,1004234,2020
Subaru,8,130608,136611,169450,175409,612078,2020
VW,9,128585,116844,148033,173867,567329,2020
Mercedes,10,75297,69505,85109,95306,325217,2020
BMW,11,67397,56285,77383,107330,308395,2020
Mazda,12,67702,61204,74411,75801,279118,2020
Tesla,13,52800,36800,64000,64000,217600,2020
Jag Land Rover,14,29344,19121,20548,40154,109167,2020
Volvo,15,19477,22392,30349,38023,110241,2020
General Motors,1,664992,744255,735790,734587,2879624,2019
Ford Motor Co,2,583121,649022,575441,599348,2406932,2019
Toyota,3,543886,608101,627341,607299,2386627,2019
FCA Jeep Chrysler,4,498599,598245,564387,543986,2205217,2019
Honda,5,369833,407375,429036,401630,1607874,2019
Nissan Alliance,6,408101,380143,351717,329502,1469463,2019
Hyundai Kia,7,288407,359797,336910,342633,1327747,2019
Subaru,8,156755,182778,185838,174773,700144,2019
Volkswagen Group,9,148985,167359,165380,168823,650547,2019
BMW,10,82808,91138,86234,101129,361309,2019
Mercedes-Benz,11,78894,80283,93935,104310,357422,2019
Mazda,12,70855,67732,69624,70400,278611,2019
Tesla,13,46844,36367,42075,53996,179242,2019
Jaguar Land Rover,14,35256,27253,26537,36848,125894,2019
Volvo,15,22074,28063,27172,31016,108325,2019
FCA Jeep Chrysler,4,"514,899","603,686","561,419","558,280","2,238,284",2018
Ford Motor Company,2,"597,102","679,575","602,026","514,768","2,393,471",2018
General Motors,1,"714,984","740,403","712,615","775,815","2,943,817",2018
Honda,5,"362,544","425,011","419,459","398,109","1,605,123",2018
Nissan,6,"415,992","364,703","343,980","369,202","1,493,877",2018
Toyota,3,"572,104","632,034","620,084","698,355","2,522,577",2018
BMW,12,"84,722","91,422","83,924","94,637","354,705",2018
Hyundai,8,"149,102","178,683","173,910","166,049","667,744",2018
Jaguar Land Rover,15,"32,312","27,025","26,973","36,107","122,417",2018
Kia,10,"127,033","166,535","158,515","137,590","589,673",2018
Mazda,13,"84,022","79,911","71,211","65,185","300,329",2018
Mercedes-Benz,11,"87,014","90,693","76,691","101,007","355,405",2018
Mitsubishi,14,"35,804","31,523","26,075","24,704","118,106",2018
Porsche,17,"14,021","17,314","11,291","14,576","57,202",2018
Subaru,7,"149,655","188,247","165,520","176,822","680,244",2018
Volkswagen Group,9,"135,017","174,721","168,859","155,525","634,122",2018
